t,large,medium,small
0,9,6,3
1,9,6,3
2,9,6,4
3,9,6,4
4,9,6,4
5,9,6,3
6,9,6,4
7,9,6,3
8,9,6,4
9,9,6,3
10,9,6,3
11,9,6,3
12,9,6,3
13,9,6,4
14,9,6,4
15,9,6,4
16,9,6,3
17,9,6,3
18,9,6,3
19,9,6,4
20,9,6,4
21,9,6,3
22,9,6,4
23,9,6,3
24,9,6,4
25,9,6,3
26,9,6,3
27,9,6,3
28,9,6,4
29,9,6,4
30,9,6,3
31,9,6,4
32,9,5,3
33,9,6,3
34,9,6,3
35,9,6,3
36,9,6,4
37,9,6,3
38,9,6,3
39,9,6,3
40,9,6,3
41,9,6,3
42,9,6,3
43,9,6,3
44,9,6,3
45,9,6,3
46,9,6,3
47,9,5,3
48,9,6,3
49,9,5,3
50,9,5,3
51,9,6,3
52,9,6,3
53,9,5,3
54,9,5,3
55,9,5,3
56,9,5,3
57,9,5,3
58,9,5,3
59,9,6,3
60,9,6,3
61,9,5,3
62,9,5,3
63,8,5,3
64,9,5,4
65,9,5,4
66,9,6,4
67,9,6,5
68,10,7,6
69,10,9,7
70,10,10,9
71,11,11,10
72,12,13,11
73,13,14,12
74,12,14,11
75,12,13,11
76,11,11,10
77,10,9,8
78,9,7,6
79,9,7,5
80,8,6,5
81,8,7,4
82,8,7,4
83,8,7,4
84,8,7,4
85,8,7,4
86,8,7,4
87,8,7,4
88,8,7,4
89,8,7,4
90,8,7,4
91,9,7,4
92,9,7,4
93,8,7,4
94,8,7,4
95,9,7,5
96,9,7,5
97,9,7,5
98,9,7,4
99,9,7,4
100,9,7,5
101,9,7,5
102,9,7,5
103,9,7,4
104,9,7,5
105,9,7,5
106,9,7,4
107,9,7,5
108,9,7,4
109,9,7,5
110,9,7,5
111,8,7,5
112,9,7,5
113,9,7,4
114,9,7,5
115,9,7,5
116,9,7,5
117,9,7,4
118,9,7,5
119,9,7,5
120,9,7,4
121,9,7,5
122,9,7,5
123,9,7,5
124,9,7,5
125,9,7,5
126,9,7,5
127,9,7,4
128,9,7,5
129,9,7,5
130,9,7,5
131,9,7,5
132,9,7,5
133,8,7,5
134,9,7,5
135,9,8,5
136,9,7,4
137,9,7,5
138,9,7,4
139,9,7,4
140,9,7,4
141,8,7,4
142,8,6,4
143,8,7,4
144,8,6,4
145,8,6,4
146,9,6,4
147,8,7,5
148,9,6,5
149,8,7,6
150,9,8,7
151,9,9,8
152,9,10,9
153,10,12,10
154,11,12,11
155,11,11,10
156,10,11,10
157,10,10,9
158,9,9,8
159,8,7,6
160,8,6,6
161,8,7,5
162,7,6,4
163,7,5,4
164,7,6,4
165,7,6,4
166,7,6,4
167,8,6,4
168,7,6,4
169,7,6,4
170,7,6,4
171,7,6,4
172,7,6,4
173,7,6,4
174,7,6,4
175,7,6,4
176,7,6,4
177,7,6,4
178,7,6,4
179,7,6,4
180,7,6,4
181,7,6,4
182,7,6,4
183,7,6,4
184,8,6,4
185,8,6,4
186,7,6,4
187,8,6,4
188,7,6,4
189,7,6,4
190,7,6,4
191,8,6,4
192,8,6,4
193,8,6,4
194,8,6,4
195,8,6,4
196,7,6,4
197,8,6,4
198,8,6,4
199,7,6,4
200,8,6,4
201,8,6,4
202,8,7,4
203,7,6,4
204,7,6,4
205,8,6,4
206,7,6,5
207,8,6,4
208,8,6,4
209,8,6,5
210,7,6,4
211,7,6,4
212,8,6,4
213,7,6,4
214,8,6,4
215,7,6,4
216,7,6,4
217,8,6,4
218,7,6,4
219,7,6,5
220,7,5,4
221,8,6,4
222,8,6,4
223,8,6,4
224,7,6,4
225,7,6,4
226,7,5,3
227,7,5,4
228,7,5,4
229,7,5,4
230,7,5,4
231,7,6,6
232,7,7,7
233,8,9,8
234,10,11,10
235,11,13,12
236,11,13,12
237,11,14,12
238,11,14,12
239,11,13,12
240,10,12,11
241,10,11,10
242,9,9,9
243,8,7,7
244,7,6,6
245,7,6,4
246,7,5,4
247,7,5,4
248,7,6,4
249,7,6,4
250,7,5,3
251,6,5,3
252,6,5,4
253,7,5,3
254,7,6,3
255,7,5,4
256,7,5,3
257,7,6,4
258,7,6,4
259,7,6,4
260,7,6,4
261,7,6,4
262,7,5,4
263,7,5,4
264,7,6,4
265,7,6,4
266,7,6,4
267,7,5,4
268,7,6,4
269,7,6,4
270,7,6,4
271,7,6,4
272,7,5,4
273,7,6,4
274,7,6,4
275,7,6,4
276,7,6,5
277,7,6,4
278,7,6,4
279,7,6,5
280,7,6,4
281,7,6,4
282,7,5,4
283,7,6,4
284,8,6,4
285,7,6,4
286,7,6,4
287,7,6,4
288,7,6,4
289,7,6,4
290,7,6,4
291,7,6,4
292,7,6,4
293,7,6,4
294,7,6,4
295,7,6,4
296,7,6,4
297,7,6,4
298,7,6,4
299,8,6,4
300,7,6,4
301,7,6,4
302,7,5,4
303,7,6,4
304,7,5,4
305,7,5,3
306,7,5,3
307,7,6,4
308,7,6,4
309,7,5,3
310,6,5,3
311,7,5,3
312,7,5,4
313,7,5,4
314,7,5,4
315,7,5,5
316,7,6,5
317,7,7,7
318,8,8,8
319,9,11,10
320,10,11,11
321,10,12,12
322,11,13,12
323,10,12,12
324,10,12,11
325,9,10,10
326,8,9,8
327,7,7,7
328,7,6,5
329,6,5,4
330,6,4,4
331,6,5,3
332,6,5,3
333,6,5,3
334,6,5,3
335,6,5,3
336,6,5,3
337,6,5,3
338,6,5,3
339,5,5,3
340,6,4,4
341,6,5,4
342,6,5,4
343,6,5,4
344,6,5,4
345,6,5,4
346,6,5,4
347,6,5,3
348,6,5,4
349,6,5,4
