t,large,medium,small
0,10,7,6
1,9,7,6
2,9,7,6
3,9,7,5
4,9,7,6
5,9,7,6
6,9,7,6
7,9,7,5
8,9,7,5
9,9,7,6
10,9,7,5
11,9,7,5
12,9,7,5
13,9,7,5
14,9,7,6
15,9,7,5
16,9,6,5
17,9,7,6
18,9,7,6
19,9,7,6
20,9,7,5
21,9,7,5
22,9,7,5
23,9,7,5
24,9,7,5
25,9,6,5
26,9,7,5
27,9,7,5
28,9,6,5
29,9,6,6
30,9,7,5
31,9,7,6
32,9,7,5
33,9,7,5
34,8,7,5
35,9,6,5
36,8,6,5
37,8,6,5
38,8,6,5
39,8,6,5
40,8,7,5
41,8,7,5
42,8,7,5
43,8,7,5
44,8,7,5
45,8,7,5
46,8,6,5
47,8,6,5
48,8,6,5
49,7,6,4
50,8,7,5
51,8,8,5
52,9,9,6
53,10,11,7
54,13,13,8
55,15,16,10
56,18,17,11
57,20,20,12
58,22,23,14
59,24,24,15
60,25,25,16
61,24,25,15
62,23,24,15
63,21,21,13
64,18,19,11
65,15,15,10
66,12,12,8
67,10,10,7
68,11,9,6
69,10,9,6
70,11,9,6
71,10,9,6
72,11,9,6
73,10,9,6
74,11,9,7
75,11,10,7
76,11,10,7
77,11,10,7
78,11,10,6
79,11,10,7
80,11,10,7
81,11,10,7
82,12,10,7
83,11,10,7
84,11,10,7
85,11,10,7
86,11,10,7
87,11,9,7
88,11,10,7
89,11,10,7
90,11,10,7
91,11,10,7
92,12,10,7
93,11,10,7
94,11,10,7
95,11,10,7
96,11,10,7
97,11,9,7
98,11,9,6
99,11,9,7
100,11,10,7
101,11,9,6
102,11,10,6
103,11,9,6
104,10,9,7
105,11,10,7
106,11,10,6
107,11,9,6
108,10,9,6
109,11,9,6
110,11,9,6
111,11,9,6
112,11,10,6
113,11,9,6
114,11,10,6
115,11,9,6
116,10,9,6
117,10,9,7
118,10,9,6
119,10,9,7
120,9,8,6
121,9,8,5
122,9,9,6
123,11,11,6
124,12,12,7
125,14,15,9
126,17,19,11
127,20,21,12
128,20,22,13
129,21,22,13
130,19,21,12
131,17,18,11
132,15,16,9
133,11,13,7
134,10,10,6
135,8,8,5
136,9,8,5
137,9,9,5
138,9,9,5
139,9,8,6
140,9,9,5
141,9,9,6
142,9,9,6
143,9,9,6
144,9,9,6
145,9,9,6
146,9,9,5
147,9,9,6
148,9,9,6
149,9,9,5
150,9,9,6
151,9,9,6
152,10,9,6
153,10,9,6
154,9,9,6
155,10,9,6
156,9,9,6
157,10,9,6
158,9,9,6
159,10,9,6
160,10,9,6
161,10,10,6
162,10,9,6
163,10,9,6
164,10,9,6
165,10,9,6
166,10,9,6
167,10,9,6
168,9,9,6
169,10,9,6
170,10,9,6
171,10,10,6
172,10,9,6
173,9,9,6
174,10,9,6
175,9,9,6
176,10,9,6
177,10,9,6
178,10,10,6
179,10,9,6
180,10,9,6
181,9,9,6
182,10,9,6
183,9,9,6
184,9,9,6
185,9,8,5
186,9,8,5
187,8,8,5
188,8,7,4
189,8,8,4
190,9,9,5
191,11,12,6
192,14,16,8
193,17,19,10
194,20,22,12
195,21,24,13
196,20,23,13
197,18,21,11
198,16,17,10
199,12,14,8
200,10,10,6
201,7,8,5
202,7,7,5
203,7,7,4
204,8,7,4
205,8,8,5
206,8,8,5
207,8,8,5
208,8,8,5
209,8,8,5
210,8,8,5
211,8,8,5
212,8,8,5
213,8,8,5
214,8,8,5
215,8,8,5
216,8,8,5
217,8,8,5
218,8,8,5
219,9,8,5
220,8,8,5
221,9,8,4
222,8,8,5
223,9,8,5
224,9,8,5
225,9,8,5
226,9,8,5
227,9,9,6
228,9,9,5
229,9,9,5
230,9,9,5
231,9,9,5
232,9,9,5
233,9,9,6
234,9,9,6
235,9,9,5
236,9,8,5
237,9,9,5
238,9,9,6
239,9,9,6
240,9,9,5
241,9,9,5
242,9,9,5
243,9,9,5
