t,large,medium,small
0,10,8,6
1,10,8,5
2,10,9,6
3,11,8,6
4,10,8,6
5,10,8,6
6,10,8,6
7,10,8,6
8,10,8,6
9,10,8,6
10,10,8,6
11,10,8,6
12,10,8,6
13,10,8,6
14,10,8,6
15,10,8,5
16,10,8,6
17,11,8,6
18,10,8,6
19,10,8,6
20,10,8,6
21,10,8,6
22,10,8,6
23,11,8,6
24,10,8,6
25,11,8,6
26,11,8,6
27,11,8,6
28,11,8,6
29,11,8,6
30,11,8,6
31,12,8,6
32,11,8,6
33,11,8,6
34,11,8,6
35,12,8,6
36,12,8,6
37,11,8,6
38,11,8,6
39,12,8,6
40,11,8,6
41,11,8,6
42,11,8,6
43,11,8,6
44,11,8,6
45,11,8,6
46,10,8,6
47,10,7,6
48,10,7,5
49,11,8,6
50,12,8,6
51,13,8,6
52,16,10,7
53,19,12,8
54,23,14,9
55,26,16,10
56,28,18,11
57,28,19,11
58,27,17,10
59,24,15,10
60,21,13,8
61,17,11,7
62,14,9,6
63,12,9,6
64,11,9,5
65,11,9,6
66,11,9,6
67,12,9,6
68,12,9,6
69,12,9,6
70,12,9,6
71,12,9,6
72,12,9,6
73,12,10,6
74,12,9,6
75,12,9,6
76,12,9,6
77,12,9,6
78,12,9,6
79,12,10,6
80,12,10,6
81,12,10,6
82,12,10,6
83,12,10,6
84,12,10,6
85,13,10,6
86,12,10,6
87,12,10,6
88,12,10,6
89,12,10,6
90,12,10,6
91,13,10,6
92,13,10,6
93,13,11,7
94,13,10,7
95,13,10,7
96,12,10,6
97,12,10,6
98,13,10,6
99,13,10,6
100,13,10,6
101,12,9,6
102,12,10,5
103,12,9,6
104,12,9,6
105,12,9,6
106,13,9,6
107,12,10,6
108,12,10,6
109,12,10,6
110,12,9,6
111,12,10,5
112,13,9,6
113,12,10,6
114,12,9,6
115,12,10,6
116,12,10,6
117,12,10,6
118,12,10,6
119,12,9,6
120,12,9,6
121,12,9,6
122,11,9,5
123,11,8,5
124,11,7,5
125,12,8,5
126,15,9,5
127,19,11,7
128,23,13,7
129,25,15,9
130,26,16,9
131,25,15,9
132,22,14,7
133,19,11,6
134,16,9,5
135,13,8,4
136,10,7,4
137,9,7,4
138,9,7,3
139,10,7,4
140,10,7,4
141,10,7,4
142,10,7,4
143,10,8,4
144,10,7,4
145,10,8,4
146,11,8,4
147,10,8,4
148,10,8,4
149,10,8,4
150,10,8,4
151,10,8,5
152,10,8,5
153,10,8,4
154,10,8,4
155,11,7,4
156,10,7,4
157,10,8,4
158,10,8,4
159,11,8,5
160,10,8,4
161,11,8,5
162,11,8,4
163,11,8,4
164,11,8,5
165,10,8,4
166,11,7,4
167,10,7,4
168,10,7,4
169,11,8,4
170,10,8,5
171,10,8,5
172,10,8,4
173,10,8,4
174,11,8,5
175,10,7,4
176,11,8,4
177,11,8,4
178,11,8,4
179,10,8,5
180,11,8,4
181,11,8,4
182,10,8,4
183,10,8,4
184,10,7,4
185,10,7,4
186,10,7,4
187,10,7,4
188,10,7,4
189,9,7,4
190,8,7,4
191,9,7,3
